Patient,MAGEA9,MAGEA10,MAGEA4,MAGEA8,MAGEA2B,MAGEA13P,MAGEA11,MAGEA6,MAGEA1,MAGEA12,MAGEA3,MAGEA7P,MAGEA4-AS1,MAGEA8-AS1,MAGEA5,MAGEA10-MAGEA5,MAGEA9B,MAGEA2
TCGA-A2-A0CS-01A-11R-A115-07,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCGA-D8-A1Y0-01A-11R-A14M-07,0,0,0,1,0,0,0,0,172,0,0,0,0,1,0,1,0,0
TCGA-E9-A22D-01A-11R-A157-07,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
TCGA-BH-A0C7-01B-11R-A115-07,0,0,0,18,0,0,0,0,99,0,0,0,0,11,0,0,0,0
TCGA-A7-A2KD-01A-31R-A21T-07,1,0,0,1,0,0,0,0,2,2,0,0,0,3,0,0,0,0
TCGA-S3-AA14-01A-11R-A41B-07,0,0,0,41,0,0,213,0,1,0,1,0,0,12,0,0,0,0
TCGA-E9-A1RB-01A-11R-A157-07,0,0,3,6,0,0,0,0,0,4,0,0,1,2,0,0,0,0
TCGA-D8-A1XK-01A-21R-A14M-07,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TCGA-OL-A66I-01A-21R-A29R-07,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
TCGA-A2-A0CT-01A-31R-A056-07,0,3,31,5,0,0,15,10,7,1,14,0,2,1,0,0,2,0
TCGA-BH-A0AU-11A-11R-A12P-07,0,1,0,17,0,0,0,0,0,0,0,1,0,4,0,0,0,0
TCGA-D8-A1XQ-01A-11R-A14M-07,0,0,0,11,0,0,0,79,5,26,157,1,0,3,0,0,0,1
TCGA-C8-A135-01A-11R-A115-07,0,0,4,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0
TCGA-D8-A1X9-01A-12R-A157-07,0,0,0,16,0,0,11,0,30,4,5,0,0,13,0,0,0,0
TCGA-AO-A0JE-01A-11R-A056-07,0,1,51,0,0,0,13,7,649,0,8,0,0,1,2,3,0,0
